"displayName","rating","userRatingCount","primaryType","placeUri","address","latitude","longitude","weekdayDescriptions","nextCloseTime","neighborhood","nextCloseHour","trueCoffee"
"KOF Amsterdam Coffee Roasters","4.5","180","coffee_shop","https://maps.google.com/?cid=12834393538407371771&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","Huidenstraat 30I, 1016 ET Amsterdam, Netherlands","52.368895599999995","4.8851448","Monday: 8:00 AM - 6:00 PM
Tuesday: 8:00 AM - 6:00 PM
Wednesday: 8:00 AM - 6:00 PM
Thursday: 8:00 AM - 6:00 PM
Friday: 8:00 AM - 6:00 PM
Saturday: 8:00 AM - 6:00 PM
Sunday: 8:00 AM - 6:00 PM","2025-10-21T16:00:00Z","Amsterdam Centrum","18.0","1"
"Back to Black","4.7","1784","food","https://maps.google.com/?cid=10287456413340688134&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","Weteringstraat 48, 1017 RN Amsterdam, Netherlands","52.361076999999995","4.888494","Monday: 8:00 AM - 6:00 PM
Tuesday: 8:00 AM - 6:00 PM
Wednesday: 8:00 AM - 6:00 PM
Thursday: 8:00 AM - 6:00 PM
Friday: 8:00 AM - 6:00 PM
Saturday: 9:00 AM - 6:00 PM
Sunday: 9:00 AM - 6:00 PM","2025-10-21T16:00:00Z","Amsterdam Centrum","18.0","1"
"Good Beans","4.9","502","coffee_shop","https://maps.google.com/?cid=18056186638478723781&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","Binnen Oranjestraat 4, 1013 JA Amsterdam, Netherlands","52.382381","4.887274199999999","Monday: 8:30 AM - 5:00 PM
Tuesday: 8:30 AM - 5:00 PM
Wednesday: 8:30 AM - 5:00 PM
Thursday: 8:30 AM - 5:00 PM
Friday: 8:30 AM - 5:00 PM
Saturday: 9:00 AM - 6:00 PM
Sunday: 10:00 AM - 5:00 PM","2025-10-21T15:00:00Z","Amsterdam Centrum","17.0","1"
"Prix d'Ami.","4.4","10207","store","https://maps.google.com/?cid=6838805495389945681&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","Haringpakkerssteeg 3, 1012 LR Amsterdam, Netherlands","52.3768702","4.897145699999999","Monday: 7:00 AM - 1:00 AM
Tuesday: 7:00 AM - 1:00 AM
Wednesday: 7:00 AM - 1:00 AM
Thursday: 7:00 AM - 1:00 AM
Friday: 7:00 AM - 1:00 AM
Saturday: 7:00 AM - 1:00 AM
Sunday: 7:00 AM - 1:00 AM","2025-10-21T23:00:00Z","Amsterdam Centrum","1.0","0"
"Hummingbird Coffee Amsterdam","4.6","894","coffee_shop","https://maps.google.com/?cid=16912688596054977832&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","Spuistraat 217, 1012 RN Amsterdam, Netherlands","52.371586799999996","4.8895102999999995","Monday: 8:30 AM - 5:00 PM
Tuesday: 8:30 AM - 5:00 PM
Wednesday: 8:30 AM - 5:00 PM
Thursday: 8:30 AM - 5:00 PM
Friday: 8:30 AM - 5:00 PM
Saturday: 9:00 AM - 5:30 PM
Sunday: 9:00 AM - 5:30 PM","2025-10-21T15:00:00Z","Amsterdam Centrum","17.0","1"
"Kaldi koffie & thee Amsterdam Herengracht","4.7","413","food_store","https://maps.google.com/?cid=10305850915157660175&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","Herengracht 300, 1016 CD Amsterdam, Netherlands","52.3702334","4.886512499999999","Monday: 8:30 AM - 5:30 PM
Tuesday: 8:30 AM - 5:30 PM
Wednesday: 8:30 AM - 5:30 PM
Thursday: 8:30 AM - 5:30 PM
Friday: 8:30 AM - 6:00 PM
Saturday: 10:00 AM - 6:00 PM
Sunday: 10:00 AM - 5:00 PM","2025-10-21T15:30:00Z","Amsterdam Centrum","17.0","1"
"de koffiesalon spui","4.3","1205","coffee_shop","https://maps.google.com/?cid=1116871452306062634&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","Spuistraat 281, 1012 VR Amsterdam, Netherlands","52.3695824","4.8890002","Monday: 7:00 AM - 7:00 PM
Tuesday: 7:00 AM - 7:00 PM
Wednesday: 7:00 AM - 7:00 PM
Thursday: 7:00 AM - 7:00 PM
Friday: 7:00 AM - 7:00 PM
Saturday: 7:00 AM - 7:00 PM
Sunday: 7:00 AM - 7:00 PM","2025-10-21T17:00:00Z","Amsterdam Centrum","19.0","1"
"Coffee Culture Center","4.7","254","cafe","https://maps.google.com/?cid=18015170024222015084&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","Nieuwezijds Voorburgwal 133, 1012 RJ Amsterdam, Netherlands","52.3740825","4.891312999999999","Monday: 10:00 AM - 5:00 PM
Tuesday: 10:00 AM - 5:00 PM
Wednesday: 10:00 AM - 5:00 PM
Thursday: 10:00 AM - 5:00 PM
Friday: 10:00 AM - 5:00 PM
Saturday: 9:00 AM - 5:00 PM
Sunday: 10:00 AM - 5:00 PM","2025-10-21T15:00:00Z","Amsterdam Centrum","17.0","1"
"Coffee & Cakes","4.6","1167","coffee_shop","https://maps.google.com/?cid=9808674227877766445&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","Warmoesstraat 133, 1012 JB Amsterdam, Netherlands","52.3738628","4.896120799999999","Monday: 8:00 AM - 10:00 PM
Tuesday: 8:00 AM - 10:00 PM
Wednesday: 8:00 AM - 10:00 PM
Thursday: 8:00 AM - 10:00 PM
Friday: 8:00 AM - 10:00 PM
Saturday: 8:00 AM - 10:00 PM
Sunday: 8:00 AM - 10:00 PM","2025-10-21T20:00:00Z","Amsterdam Centrum","22.0","1"
"white label coffee","4.5","667","coffee_shop","https://maps.google.com/?cid=12347546851632540050&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","Jan Evertsenstraat 136, 1056 EK Amsterdam, Netherlands","52.370430999999996","4.851578","Monday: 7:30 AM - 5:30 PM
Tuesday: 7:30 AM - 5:30 PM
Wednesday: 7:30 AM - 5:30 PM
Thursday: 7:30 AM - 5:30 PM
Friday: 7:30 AM - 5:30 PM
Saturday: 8:00 AM - 5:30 PM
Sunday: 8:00 AM - 5:30 PM","2025-10-21T15:30:00Z","Amsterdam Centrum","17.0","1"
"Luuk's Coffee Noordermarkt","4.8","917","coffee_shop","https://maps.google.com/?cid=11045848961108365584&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","Westerstraat 3, 1015 LT Amsterdam, Netherlands","52.378763899999996","4.8862575","Monday: 7:30 AM - 4:30 PM
Tuesday: 7:30 AM - 4:30 PM
Wednesday: 7:30 AM - 4:30 PM
Thursday: 7:30 AM - 4:30 PM
Friday: 7:30 AM - 4:30 PM
Saturday: 8:00 AM - 5:00 PM
Sunday: 9:00 AM - 5:00 PM","2025-10-21T14:30:00Z","Amsterdam Centrum","16.0","1"
"Toki","4.5","1167","coffee_shop","https://maps.google.com/?cid=291165814650215684&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","Binnen Dommersstraat 15, 1013 HK Amsterdam, Netherlands","52.3829109","4.885517500000001","Monday: 8:00 AM - 5:00 PM
Tuesday: 8:00 AM - 5:00 PM
Wednesday: 8:00 AM - 5:00 PM
Thursday: 8:00 AM - 5:00 PM
Friday: 8:00 AM - 5:00 PM
Saturday: 9:00 AM - 5:00 PM
Sunday: 9:00 AM - 5:00 PM","2025-10-21T15:00:00Z","Amsterdam Centrum","17.0","1"
"de koffie salon centrum","4.2","509","coffee_shop","https://maps.google.com/?cid=7766124347830079556&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","Utrechtsestraat 130-BG, 1017 VT Amsterdam, Netherlands","52.361290999999994","4.8991549999999995","Monday: 7:00 AM - 6:00 PM
Tuesday: 7:00 AM - 6:00 PM
Wednesday: 7:00 AM - 6:00 PM
Thursday: 7:00 AM - 6:00 PM
Friday: 7:00 AM - 6:00 PM
Saturday: 7:00 AM - 6:00 PM
Sunday: 7:00 AM - 6:00 PM","2025-10-21T16:00:00Z","Amsterdam Centrum","18.0","1"
"Kaldi Amsterdam Utrechtsestraat","4.9","492","coffee_shop","https://maps.google.com/?cid=6651395700089812166&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","Utrechtsestraat 129, 1017 VM Amsterdam, Netherlands","52.3616975","4.8993359","Monday: 8:30 AM - 5:00 PM
Tuesday: 8:30 AM - 5:00 PM
Wednesday: 8:30 AM - 5:00 PM
Thursday: 8:30 AM - 5:00 PM
Friday: 8:30 AM - 5:00 PM
Saturday: 9:00 AM - 5:00 PM
Sunday: 9:30 AM - 3:00 PM","2025-10-21T15:00:00Z","Amsterdam Centrum","17.0","1"
"coffeecompany","4.1","1780","coffee_shop","https://maps.google.com/?cid=13350948010606199250&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","11, Oude Doelenstraat, 1012 ED Amsterdam, Netherlands","52.371636099999996","4.8967306","Monday: 7:30 AM - 8:00 PM
Tuesday: 7:30 AM - 8:00 PM
Wednesday: 7:30 AM - 8:00 PM
Thursday: 7:30 AM - 8:00 PM
Friday: 7:30 AM - 9:00 PM
Saturday: 8:30 AM - 9:00 PM
Sunday: 8:30 AM - 8:00 PM","2025-10-21T18:00:00Z","Amsterdam Centrum","20.0","1"
"Coffeeshop Relax | Amsterdam Centrum","4.7","706","store","https://maps.google.com/?cid=12392756335133000111&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","Binnen Oranjestraat 9, 1013 HZ Amsterdam, Netherlands","52.3821959","4.8871458","Monday: 8:00 AM - 1:00 AM
Tuesday: 8:00 AM - 1:00 AM
Wednesday: 8:00 AM - 1:00 AM
Thursday: 8:00 AM - 1:00 AM
Friday: 8:00 AM - 1:00 AM
Saturday: 8:00 AM - 1:00 AM
Sunday: 8:00 AM - 1:00 AM","2025-10-21T23:00:00Z","Amsterdam Centrum","1.0","0"
"illy Caffè","4.3","1813","coffee_shop","https://maps.google.com/?cid=8133513117487304981&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","Hasselaerssteeg 4, 1012 MB Amsterdam, Netherlands","52.377486","4.897479","Monday: 8:00 AM - 6:00 PM
Tuesday: 8:00 AM - 6:00 PM
Wednesday: 8:00 AM - 6:00 PM
Thursday: 8:00 AM - 6:00 PM
Friday: 8:00 AM - 6:00 PM
Saturday: 8:00 AM - 6:00 PM
Sunday: 9:00 AM - 6:00 PM","2025-10-21T16:00:00Z","Amsterdam Centrum","18.0","1"
"Green Place","4.3","1306","store","https://maps.google.com/?cid=14378538325403784578&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","Kloveniersburgwal 4, 1012 CT Amsterdam, Netherlands","52.3721177","4.8992756","Monday: 8:00 AM - 1:00 AM
Tuesday: 8:00 AM - 1:00 AM
Wednesday: 8:00 AM - 1:00 AM
Thursday: 8:00 AM - 1:00 AM
Friday: 8:00 AM - 1:00 AM
Saturday: 8:00 AM - 1:00 AM
Sunday: 8:00 AM - 1:00 AM","2025-10-21T23:00:00Z","Amsterdam Centrum","1.0","0"
"Wakuli specialty coffee bar","4.5","136","cafe","https://maps.google.com/?cid=17241469667769863488&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","Haarlemmerplein 43, 1013 HR Amsterdam, Netherlands","52.384686599999995","4.8824398","Monday: 7:00 AM - 6:00 PM
Tuesday: 7:00 AM - 6:00 PM
Wednesday: 7:00 AM - 6:00 PM
Thursday: 7:00 AM - 6:00 PM
Friday: 7:00 AM - 6:00 PM
Saturday: 8:00 AM - 6:00 PM
Sunday: 8:00 AM - 6:00 PM","2025-10-21T16:00:00Z","Amsterdam Centrum","18.0","1"
"Coffee & Cakes.","4.4","968","coffee_shop","https://maps.google.com/?cid=12887066011726907892&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","Sint Luciënsteeg 21, 1012 PM Amsterdam, Netherlands","52.3706508","4.8910036","Monday: 10:00 AM - 7:00 PM
Tuesday: 10:00 AM - 7:00 PM
Wednesday: 10:00 AM - 7:00 PM
Thursday: 10:00 AM - 7:00 PM
Friday: 10:00 AM - 8:00 PM
Saturday: 10:00 AM - 8:00 PM
Sunday: 10:00 AM - 8:00 PM","2025-10-21T17:00:00Z","Amsterdam Centrum","19.0","1"
"Wakuli specialty coffee bar","4.7","82","cafe","https://maps.google.com/?cid=11275652231488648513&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","Vijzelgracht 37, 1017 HP Amsterdam, Netherlands","52.3608019","4.8914608","Monday: 7:00 AM - 6:00 PM
Tuesday: 7:00 AM - 6:00 PM
Wednesday: 7:00 AM - 6:00 PM
Thursday: 7:00 AM - 6:00 PM
Friday: 7:00 AM - 6:00 PM
Saturday: 8:00 AM - 6:00 PM
Sunday: 8:00 AM - 6:00 PM","2025-10-21T16:00:00Z","Amsterdam Centrum","18.0","1"
"Elevate Coffee Lab","4.9","256","coffee_shop","https://maps.google.com/?cid=7460890059459287704&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","Van der Helstplein 10H, 1072 PH Amsterdam, Netherlands","52.351573200000004","4.8945191999999995","Monday: Closed
Tuesday: 8:00 AM - 5:00 PM
Wednesday: 8:00 AM - 5:00 PM
Thursday: 8:00 AM - 5:00 PM
Friday: 8:00 AM - 5:00 PM
Saturday: 8:30 AM - 5:00 PM
Sunday: 8:30 AM - 5:00 PM","2025-10-21T15:00:00Z","Amsterdam Centrum","17.0","1"
"Abraxas","4.6","5756","store","https://maps.google.com/?cid=566715139965854026&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","Jonge Roelensteeg 12-14, 1012 PL Amsterdam, Netherlands","52.3721009","4.8912195999999994","Monday: 9:30 AM - 1:00 AM
Tuesday: 9:30 AM - 1:00 AM
Wednesday: 9:30 AM - 1:00 AM
Thursday: 9:30 AM - 1:00 AM
Friday: 9:30 AM - 1:00 AM
Saturday: 9:30 AM - 1:00 AM
Sunday: 9:30 AM - 1:00 AM","2025-10-21T23:00:00Z","Amsterdam Centrum","1.0","0"
"Sango Specialty Coffee Roasters","4.7","1034","food","https://maps.google.com/?cid=8425108917556132359&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","Stromarkt 15, 1012 MZ Amsterdam, Netherlands","52.3785368","4.8945098","Monday: 8:30 AM - 4:00 PM
Tuesday: 8:30 AM - 4:00 PM
Wednesday: 8:30 AM - 4:00 PM
Thursday: 8:30 AM - 4:00 PM
Friday: 8:30 AM - 4:00 PM
Saturday: 8:30 AM - 4:00 PM
Sunday: 9:00 AM - 4:00 PM","","Amsterdam Centrum","","1"
"Kooi Coffeeshop","4.5","928","coffee_shop","https://maps.google.com/?cid=9172022357203964521&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","Amstelstraat 35, 1017 DA Amsterdam, Netherlands","52.366239300000004","4.8994313","Monday: 10:00 AM - 1:00 AM
Tuesday: 10:00 AM - 1:00 AM
Wednesday: 10:00 AM - 1:00 AM
Thursday: 10:00 AM - 1:00 AM
Friday: 10:00 AM - 1:00 AM
Saturday: 10:00 AM - 1:00 AM
Sunday: 10:00 AM - 1:00 AM","2025-10-21T23:00:00Z","Amsterdam Centrum","1.0","0"
"Coffeeshop Amsterdam","4.5","2316","store","https://maps.google.com/?cid=18172252392115299358&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","Haarlemmerstraat 44, 1013 ES Amsterdam, Netherlands","52.3800848","4.8929082","Monday: 8:00 AM - 1:00 AM
Tuesday: 8:00 AM - 1:00 AM
Wednesday: 8:00 AM - 1:00 AM
Thursday: 8:00 AM - 1:00 AM
Friday: 8:00 AM - 1:00 AM
Saturday: 8:00 AM - 1:00 AM
Sunday: 8:00 AM - 1:00 AM","2025-10-21T23:00:00Z","Amsterdam Centrum","1.0","0"
"Haku Specialty Coffee","4.8","375","food_store","https://maps.google.com/?cid=6154733505273622538&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","Rozengracht 69, 1016 LT Amsterdam, Netherlands","52.373287999999995","4.880800499999999","Monday: 8:00 AM - 5:00 PM
Tuesday: 8:00 AM - 5:00 PM
Wednesday: 8:00 AM - 5:00 PM
Thursday: 8:00 AM - 5:00 PM
Friday: 8:00 AM - 5:00 PM
Saturday: 9:00 AM - 6:00 PM
Sunday: 9:00 AM - 6:00 PM","2025-10-21T15:00:00Z","Amsterdam Centrum","17.0","1"
"Coffeeshopamsterdam Café","4.6","1082","coffee_shop","https://maps.google.com/?cid=515847854484118816&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","Singel 8, 1013 GA Amsterdam, Netherlands","52.379163999999996","4.893925299999999","Monday: 10:00 AM - 1:00 AM
Tuesday: 10:00 AM - 1:00 AM
Wednesday: 10:00 AM - 1:00 AM
Thursday: 10:00 AM - 1:00 AM
Friday: 10:00 AM - 1:00 AM
Saturday: 10:00 AM - 1:00 AM
Sunday: 10:00 AM - 1:00 AM","2025-10-21T23:00:00Z","Amsterdam Centrum","1.0","0"
"Coffee and cakes Amsterdam | Tea | Matcha | Chai | WIFI | Muffin","4.6","310","coffee_shop","https://maps.google.com/?cid=2653911738953121872&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","Singel 369, 1012 WL Amsterdam, Netherlands","52.369185300000005","4.8882686","Monday: 10:00 AM - 7:00 PM
Tuesday: 10:00 AM - 7:00 PM
Wednesday: 10:00 AM - 7:00 PM
Thursday: 10:00 AM - 7:00 PM
Friday: 10:00 AM - 7:00 PM
Saturday: 10:00 AM - 7:00 PM
Sunday: 10:00 AM - 7:00 PM","2025-10-21T17:00:00Z","Amsterdam Centrum","19.0","1"
"Cafe the Barrel","4.8","366","bar","https://maps.google.com/?cid=15423918902409021913&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","Jonge Roelensteeg 4 H, 1012 PL Amsterdam, Netherlands","52.3721512","4.8917570999999995","Monday: 3:00 PM - 1:00 AM
Tuesday: 3:00 PM - 1:00 AM
Wednesday: 3:00 PM - 1:00 AM
Thursday: 3:00 PM - 1:00 AM
Friday: 3:00 PM - 1:00 AM
Saturday: 3:00 PM - 1:00 AM
Sunday: 2:00 PM - 12:00 AM","2025-10-21T23:00:00Z","Amsterdam Centrum","1.0","0"
"Café Hill Street Blues","4.6","3849","bar","https://maps.google.com/?cid=17149274136780654060&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","Warmoesstraat 52A, 1012 JE Amsterdam, Netherlands","52.375479","4.898224","Monday: 12:00 PM - 1:00 AM
Tuesday: 12:00 PM - 1:00 AM
Wednesday: 12:00 PM - 1:00 AM
Thursday: 12:00 PM - 1:00 AM
Friday: 12:00 PM - 3:00 AM
Saturday: 12:00 PM - 3:00 AM
Sunday: 12:00 PM - 1:00 AM","2025-10-21T23:00:00Z","Amsterdam Centrum","1.0","0"
